Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
CrawlerDynamicLearning,3.407,22.300,17.345,23677,9.026
CrawlerDynamicLearning,3.351,44.503,17.648,23237,6.434
CrawlerDynamicLearning,3.067,66.600,17.873,21944,-5.256
CrawlerDynamicLearning,3.752,89.699,18.185,24579,4.433
CrawlerDynamicLearning,3.421,111.189,16.968,22897,7.120
CrawlerDynamicLearning,3.415,132.825,17.039,23764,8.352
CrawlerDynamicLearning,3.394,154.610,17.225,23327,2.395
CrawlerDynamicLearning,3.095,175.089,16.258,20654,10.766
CrawlerDynamicLearning,3.089,193.311,14.114,21000,8.314
CrawlerDynamicLearning,3.081,212.980,15.472,21000,5.455
CrawlerDynamicLearning,3.097,231.971,14.857,21100,9.238
CrawlerDynamicLearning,3.071,252.105,16.002,20856,10.972
CrawlerDynamicLearning,3.092,270.471,14.351,21144,8.111
CrawlerDynamicLearning,3.060,288.921,14.474,20447,13.269
CrawlerDynamicLearning,3.058,309.649,16.589,21123,8.417
CrawlerDynamicLearning,3.012,329.238,15.496,20572,18.646
CrawlerDynamicLearning,3.076,346.686,13.431,20804,13.530
CrawlerDynamicLearning,3.039,365.153,14.437,20436,12.743
CrawlerDynamicLearning,3.120,386.101,16.721,21189,7.907
CrawlerDynamicLearning,3.072,405.516,15.310,21000,9.136
CrawlerDynamicLearning,3.044,423.622,14.125,21000,16.410
CrawlerDynamicLearning,3.049,442.063,14.424,20450,21.011
CrawlerDynamicLearning,3.072,460.978,14.824,20328,14.336
CrawlerDynamicLearning,3.075,479.205,14.226,20483,30.446
CrawlerDynamicLearning,3.067,498.588,15.242,21000,21.077
CrawlerDynamicLearning,3.041,518.985,16.224,21156,28.567
CrawlerDynamicLearning,3.044,539.203,16.079,21232,19.048
CrawlerDynamicLearning,3.047,556.323,13.019,21192,33.705
CrawlerDynamicLearning,3.072,577.085,16.505,21224,19.723
CrawlerDynamicLearning,3.033,596.895,15.820,20795,31.380
CrawlerDynamicLearning,3.044,616.146,15.160,20683,20.819
CrawlerDynamicLearning,3.063,632.697,12.644,20823,34.956
CrawlerDynamicLearning,3.066,653.192,16.340,20440,18.685
CrawlerDynamicLearning,3.061,673.602,16.252,21000,35.628
CrawlerDynamicLearning,3.057,689.858,12.395,21008,25.020
CrawlerDynamicLearning,3.056,709.956,15.999,21000,24.774
CrawlerDynamicLearning,3.033,731.190,17.011,21027,30.330
CrawlerDynamicLearning,3.020,749.160,14.024,20427,9.958
CrawlerDynamicLearning,3.025,767.444,14.297,20561,23.002
CrawlerDynamicLearning,3.029,788.007,16.411,20302,31.146
CrawlerDynamicLearning,3.029,805.152,13.239,20415,24.587
CrawlerDynamicLearning,3.071,826.120,16.753,20685,15.184
CrawlerDynamicLearning,3.045,844.302,14.181,20477,39.517
CrawlerDynamicLearning,3.062,865.824,17.297,20828,23.720
CrawlerDynamicLearning,3.067,883.398,13.576,20700,21.164
CrawlerDynamicLearning,3.071,902.655,15.178,20445,22.868
CrawlerDynamicLearning,3.110,922.964,16.121,21009,30.830
CrawlerDynamicLearning,3.100,940.843,13.859,21151,27.738
CrawlerDynamicLearning,3.090,961.473,16.459,20479,24.758
CrawlerDynamicLearning,3.138,980.279,14.728,20706,35.349
CrawlerDynamicLearning,3.070,999.073,14.768,21236,28.083
CrawlerDynamicLearning,3.136,1018.976,15.787,20412,15.903
CrawlerDynamicLearning,3.080,1037.358,14.304,20441,15.229
CrawlerDynamicLearning,3.064,1056.241,14.820,20838,20.969
CrawlerDynamicLearning,3.058,1074.552,14.314,20680,15.553
CrawlerDynamicLearning,3.068,1095.539,16.764,21000,7.037
