Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
CrawlerDynamicLearning,7.169,55.074,45.528,24024,nan
CrawlerDynamicLearning,7.130,110.518,46.922,24024,nan
CrawlerDynamicLearning,7.231,156.026,36.814,23976,34.724
CrawlerDynamicLearning,7.218,213.449,48.715,24024,nan
CrawlerDynamicLearning,7.206,271.455,49.281,23964,46.119
CrawlerDynamicLearning,7.186,318.176,37.865,24024,nan
CrawlerDynamicLearning,7.196,375.975,49.110,24024,nan
CrawlerDynamicLearning,7.278,432.619,47.594,23964,14.144
CrawlerDynamicLearning,7.212,491.988,49.998,24024,nan
CrawlerDynamicLearning,7.266,551.063,50.259,23964,-11.677
CrawlerDynamicLearning,7.277,610.704,50.483,24024,nan
CrawlerDynamicLearning,7.217,669.389,49.911,24024,nan
CrawlerDynamicLearning,7.214,729.050,50.639,23964,-33.576
CrawlerDynamicLearning,7.249,783.938,45.910,24024,nan
CrawlerDynamicLearning,7.204,835.751,43.247,23964,0.273
CrawlerDynamicLearning,7.179,892.116,47.191,24024,nan
CrawlerDynamicLearning,7.268,944.308,43.324,24024,nan
CrawlerDynamicLearning,7.216,990.493,37.552,23964,2.985
CrawlerDynamicLearning,7.159,1049.665,50.447,24024,nan
CrawlerDynamicLearning,7.131,1107.886,49.572,23964,6.011
CrawlerDynamicLearning,7.236,1163.864,46.763,24024,nan
CrawlerDynamicLearning,7.173,1223.792,51.199,24024,nan
CrawlerDynamicLearning,7.155,1282.598,49.822,23964,3.529
CrawlerDynamicLearning,7.144,1342.242,50.346,24024,nan
CrawlerDynamicLearning,7.177,1401.427,50.148,23964,11.236
CrawlerDynamicLearning,7.148,1455.939,45.599,24024,nan
CrawlerDynamicLearning,7.261,1507.305,42.723,24024,nan
CrawlerDynamicLearning,7.253,1554.865,38.772,23964,18.253
CrawlerDynamicLearning,7.187,1606.590,42.885,24024,nan
CrawlerDynamicLearning,7.198,1660.590,45.312,23964,20.555
CrawlerDynamicLearning,7.172,1714.424,44.712,24024,nan
CrawlerDynamicLearning,7.191,1768.723,45.371,24024,nan
CrawlerDynamicLearning,7.146,1823.001,45.403,23964,28.955
CrawlerDynamicLearning,7.235,1876.825,45.112,24024,nan
CrawlerDynamicLearning,7.136,1930.475,45.058,23964,32.819
CrawlerDynamicLearning,7.192,1985.690,45.994,24024,nan
CrawlerDynamicLearning,7.154,2038.737,44.445,24024,nan
CrawlerDynamicLearning,7.160,2092.645,44.997,23964,29.273
CrawlerDynamicLearning,7.138,2147.809,45.955,24024,nan
CrawlerDynamicLearning,7.168,2201.706,45.232,23964,12.845
CrawlerDynamicLearning,7.167,2255.882,45.293,24024,nan
CrawlerDynamicLearning,7.154,2309.076,44.616,24024,nan
CrawlerDynamicLearning,7.167,2363.141,45.133,23964,18.612
CrawlerDynamicLearning,7.159,2417.323,45.308,24024,nan
CrawlerDynamicLearning,7.166,2470.610,44.648,23964,18.515
