Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
CrawlerDynamicLearning,6.220,30.447,22.304,22929,6.365
CrawlerDynamicLearning,5.837,60.265,22.641,22419,7.349
CrawlerDynamicLearning,5.669,89.851,22.651,23180,10.478
CrawlerDynamicLearning,5.079,116.794,20.678,20521,1.811
CrawlerDynamicLearning,5.027,142.318,19.353,20458,0.308
CrawlerDynamicLearning,4.995,168.642,20.101,20562,6.070
CrawlerDynamicLearning,5.022,191.940,17.256,20917,1.578
CrawlerDynamicLearning,4.984,219.151,21.079,21024,8.327
CrawlerDynamicLearning,4.963,243.868,18.714,20935,-0.252
CrawlerDynamicLearning,5.033,268.317,18.382,20388,2.799
CrawlerDynamicLearning,5.027,295.743,21.203,20309,4.762
CrawlerDynamicLearning,4.965,320.366,18.702,20287,2.478
CrawlerDynamicLearning,5.006,344.905,18.560,20258,13.850
CrawlerDynamicLearning,5.113,371.319,20.309,20254,5.576
CrawlerDynamicLearning,5.040,397.806,20.380,21097,2.583
CrawlerDynamicLearning,5.027,420.911,17.091,20294,13.903
CrawlerDynamicLearning,4.989,447.207,20.161,20722,14.748
CrawlerDynamicLearning,5.004,472.079,18.822,20991,14.778
CrawlerDynamicLearning,5.017,495.601,17.595,20697,23.924
CrawlerDynamicLearning,4.995,521.478,19.767,20639,23.237
CrawlerDynamicLearning,4.969,547.874,20.230,20775,22.483
CrawlerDynamicLearning,5.011,571.668,17.771,21090,28.003
CrawlerDynamicLearning,5.056,597.249,19.454,20771,35.016
CrawlerDynamicLearning,5.019,622.727,19.385,20703,19.902
CrawlerDynamicLearning,5.074,645.305,16.560,20943,25.613
CrawlerDynamicLearning,5.027,670.816,19.422,21106,33.643
CrawlerDynamicLearning,5.025,698.234,21.203,21217,32.056
CrawlerDynamicLearning,5.050,724.133,19.675,20928,45.425
CrawlerDynamicLearning,5.097,747.191,16.746,20459,47.824
CrawlerDynamicLearning,5.033,772.378,19.031,20516,44.106
CrawlerDynamicLearning,5.027,798.843,20.265,20612,39.615
CrawlerDynamicLearning,4.983,823.375,18.491,20282,35.043
CrawlerDynamicLearning,5.026,846.244,16.933,20633,53.521
CrawlerDynamicLearning,5.012,871.970,19.660,20353,45.083
CrawlerDynamicLearning,5.025,898.403,20.230,21000,58.150
CrawlerDynamicLearning,5.027,921.179,16.776,20993,38.713
CrawlerDynamicLearning,5.118,947.947,20.509,21183,51.352
CrawlerDynamicLearning,5.163,973.515,19.314,21000,26.498
CrawlerDynamicLearning,5.156,1000.640,20.795,21145,38.983
CrawlerDynamicLearning,5.065,1022.775,16.195,20401,27.467
CrawlerDynamicLearning,5.206,1049.850,20.762,21145,46.030
CrawlerDynamicLearning,5.171,1076.207,20.094,20530,42.568
CrawlerDynamicLearning,5.107,1099.946,17.696,20315,55.244
CrawlerDynamicLearning,5.076,1125.703,19.583,20624,69.717
CrawlerDynamicLearning,5.061,1150.919,19.108,21151,58.028
CrawlerDynamicLearning,4.734,1177.214,20.381,20317,57.677
CrawlerDynamicLearning,4.793,1200.064,17.084,20632,51.913
CrawlerDynamicLearning,4.779,1224.423,18.554,21157,67.449
CrawlerDynamicLearning,4.773,1248.788,18.544,20695,78.524
CrawlerDynamicLearning,4.785,1271.193,16.683,20521,59.392
CrawlerDynamicLearning,4.925,1297.939,20.637,20832,55.519
