Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
CrawlerDynamicLearning,7.046,33.504,24.526,22691,5.757
CrawlerDynamicLearning,7.069,67.250,25.626,22647,8.913
CrawlerDynamicLearning,7.052,100.958,25.586,22870,-3.522
CrawlerDynamicLearning,7.070,133.289,24.156,22987,-0.381
CrawlerDynamicLearning,6.377,161.994,21.376,20768,1.383
CrawlerDynamicLearning,6.411,190.082,20.778,20360,-6.623
CrawlerDynamicLearning,6.376,218.381,21.017,20795,-5.848
CrawlerDynamicLearning,6.394,247.294,21.618,20430,3.209
CrawlerDynamicLearning,6.386,274.815,20.253,20681,-3.574
CrawlerDynamicLearning,6.370,303.661,21.561,20352,7.327
CrawlerDynamicLearning,6.376,332.646,21.659,21205,-2.161
CrawlerDynamicLearning,6.377,360.837,20.916,20371,-3.257
CrawlerDynamicLearning,6.434,389.654,21.476,20882,-3.634
CrawlerDynamicLearning,6.331,417.116,20.269,20803,-5.683
CrawlerDynamicLearning,6.389,445.497,21.103,21000,-0.999
CrawlerDynamicLearning,6.401,475.654,22.780,21517,6.954
CrawlerDynamicLearning,6.377,504.094,21.151,21055,11.835
CrawlerDynamicLearning,6.403,532.156,20.766,20788,7.136
CrawlerDynamicLearning,6.346,562.680,23.213,20676,1.718
CrawlerDynamicLearning,6.405,590.792,20.787,21946,10.528
CrawlerDynamicLearning,6.396,619.295,21.220,20548,22.158
CrawlerDynamicLearning,6.394,648.175,21.585,21042,13.043
CrawlerDynamicLearning,6.410,677.839,22.275,21000,8.260
CrawlerDynamicLearning,6.391,705.568,20.415,20410,17.081
CrawlerDynamicLearning,6.404,733.067,20.233,20524,26.352
CrawlerDynamicLearning,6.417,760.740,20.352,20447,23.746
CrawlerDynamicLearning,6.365,789.753,21.723,20641,26.278
CrawlerDynamicLearning,6.402,819.182,22.087,20877,33.464
CrawlerDynamicLearning,6.391,846.046,19.385,21236,22.722
CrawlerDynamicLearning,6.364,875.521,22.184,20739,29.441
CrawlerDynamicLearning,6.344,904.765,21.938,20512,34.337
CrawlerDynamicLearning,6.350,932.471,20.492,20429,32.944
CrawlerDynamicLearning,6.400,959.181,19.448,20693,42.441
CrawlerDynamicLearning,6.351,988.996,22.489,20843,30.363
CrawlerDynamicLearning,6.358,1018.580,22.259,20467,49.418
CrawlerDynamicLearning,6.398,1044.292,18.547,20320,54.289
CrawlerDynamicLearning,6.324,1071.994,20.477,20426,58.660
CrawlerDynamicLearning,6.396,1101.601,22.264,20439,71.425
CrawlerDynamicLearning,6.357,1130.372,21.518,20463,60.712
CrawlerDynamicLearning,6.387,1157.904,20.282,20454,75.801
CrawlerDynamicLearning,6.368,1185.900,20.732,20325,68.078
CrawlerDynamicLearning,6.358,1213.176,20.071,20700,90.666
CrawlerDynamicLearning,6.372,1241.820,21.341,20320,80.452
CrawlerDynamicLearning,6.362,1268.043,19.055,20582,84.938
CrawlerDynamicLearning,6.404,1297.710,22.289,20476,76.485
CrawlerDynamicLearning,6.380,1328.012,22.939,20464,70.517
CrawlerDynamicLearning,6.345,1354.334,19.158,20914,67.698
CrawlerDynamicLearning,6.353,1383.205,21.567,20853,59.035
CrawlerDynamicLearning,6.398,1412.364,21.821,21143,66.807
CrawlerDynamicLearning,6.381,1440.381,20.769,20382,82.055
CrawlerDynamicLearning,6.403,1468.055,20.354,20882,79.846
